,open,high,low,close,volume,rsi
2022-02-11 06:40:00-06:00,18.74,18.74,18.66,18.66,16930,67.19368487260753
2022-02-11 06:45:00-06:00,18.69,18.7,18.61,18.66,10194,67.19368487260753
2022-02-11 06:50:00-06:00,18.67,18.67,18.65,18.67,7684,67.92969124373799
2022-02-11 06:55:00-06:00,18.66,18.68,18.66,18.67,1347,67.92969124373799
2022-02-11 07:00:00-06:00,18.69,18.69,18.66,18.68,9731,68.74297322981062
2022-02-11 07:05:00-06:00,18.68,18.71,18.68,18.7001,7912,70.36948763476765
2022-02-11 07:10:00-06:00,18.71,18.74,18.7,18.72,18055,71.9270315113225
2022-02-11 07:15:00-06:00,18.72,18.73,18.7,18.72,9562,71.9270315113225
2022-02-11 07:20:00-06:00,18.7199,18.85,18.7199,18.84,21342,79.47311637464381
2022-02-11 07:25:00-06:00,18.84,18.85,18.71,18.74,51731,64.02755487190042
2022-02-11 07:30:00-06:00,18.73,18.77,18.7299,18.7699,18995,66.1461473641071
2022-02-11 07:35:00-06:00,18.78,18.78,18.75,18.78,10243,66.85623856841086
2022-02-11 07:40:00-06:00,18.78,18.8,18.75,18.7899,23243,67.57419049452608
2022-02-11 07:45:00-06:00,18.76,18.79,18.715,18.76,24537,63.12658226981467
2022-02-11 07:50:00-06:00,18.75,18.81,18.75,18.78,27850,64.79569231802576
2022-02-11 07:55:00-06:00,18.78,18.81,18.75,18.76,18712,61.78385662624677
2022-02-11 08:00:00-06:00,18.77,18.78,18.63,18.65,53744,48.44589418309905
2022-02-11 08:05:00-06:00,18.65,18.7,18.62,18.67,61423,50.53672705745657
2022-02-11 08:10:00-06:00,18.67,18.73,18.66,18.69,40612,52.6066681500652
2022-02-11 08:15:00-06:00,18.68,18.69,18.66,18.69,9367,52.6066681500652
2022-02-11 08:20:00-06:00,18.69,18.75,18.62,18.62,45148,44.96802290421068
2022-02-11 08:25:00-06:00,18.64,18.67,18.55,18.59,159784,42.143689296050404
2022-02-11 08:30:00-06:00,18.75,19.1200008392334,18.75,18.860000610351562,3146452,64.03652519662454
2022-02-11 08:35:00-06:00,18.860000610351562,18.860000610351562,18.5,18.604999542236328,1621814,46.24012328053922
2022-02-11 08:40:00-06:00,18.610000610351562,18.6299991607666,18.33099937438965,18.614999771118164,1245717,46.8637830117143
2022-02-11 08:45:00-06:00,18.6200008392334,19.299999237060547,18.610000610351562,18.950000762939453,2307352,62.54093599959065
2022-02-11 08:50:00-06:00,18.950000762939453,19.048200607299805,18.899999618530273,18.985000610351562,921909,63.7444624916405
2022-02-11 08:55:00-06:00,18.97209930419922,19.030000686645508,18.59000015258789,18.639999389648438,1210014,47.53269585594296
2022-02-11 09:00:00-06:00,18.645000457763672,18.8799991607666,18.56999969482422,18.719999313354492,895264,50.66590015015543
2022-02-11 09:05:00-06:00,18.71500015258789,18.899999618530273,18.610000610351562,18.690000534057617,809257,49.47283152763579
2022-02-11 09:10:00-06:00,18.688499450683594,18.864999771118164,18.610000610351562,18.74970054626465,707628,51.90026781465805
2022-02-11 09:15:00-06:00,18.739999771118164,18.770000457763672,18.3700008392334,18.709999084472656,1374811,50.17396083619816
2022-02-11 09:20:00-06:00,18.68899917602539,19.15999984741211,18.68000030517578,19.073299407958984,1444263,62.474387737825175
2022-02-11 09:25:00-06:00,19.069900512695312,19.06999969482422,18.85059928894043,18.959999084472656,806468,57.69113883935704
2022-02-11 09:30:00-06:00,18.958900451660156,19.18000030517578,18.950000762939453,19.030000686645508,947903,59.74199290156596
2022-02-11 09:35:00-06:00,19.030000686645508,19.139999389648438,18.969999313354492,19.079999923706055,769086,61.189088893690126
2022-02-11 09:40:00-06:00,19.084999084472656,19.190000534057617,19.059999465942383,19.1294002532959,651938,62.61880370640569
2022-02-11 09:45:00-06:00,19.1200008392334,19.290000915527344,19.0,19.15999984741211,1048216,63.515357145347565
2022-02-11 09:50:00-06:00,19.15920066833496,19.239999771118164,19.020000457763672,19.22010040283203,812306,65.27688365541297
2022-02-11 09:55:00-06:00,19.225000381469727,19.360000610351562,19.219999313354492,19.269100189208984,1040503,66.68898957928072
2022-02-11 10:00:00-06:00,19.264999389648438,19.389999389648438,19.18000030517578,19.37070083618164,834871,69.46214422776234
2022-02-11 10:05:00-06:00,19.3700008392334,19.377099990844727,19.100000381469727,19.1200008392334,920271,56.87919930470521
2022-02-11 10:10:00-06:00,19.1200008392334,19.15999984741211,19.020000457763672,19.020000457763672,761091,52.77266769391321
2022-02-11 10:15:00-06:00,19.029399871826172,19.09000015258789,18.90999984741211,19.089399337768555,999362,55.19050584314814
2022-02-11 10:20:00-06:00,19.09000015258789,19.190000534057617,18.989999771118164,19.17009925842285,781553,57.89024528987666
2022-02-11 10:25:00-06:00,19.17930030822754,19.190000534057617,19.051000595092773,19.135000228881836,527518,56.30141395217716
2022-02-11 10:30:00-06:00,19.1299991607666,19.299999237060547,19.100000381469727,19.1299991607666,686361,56.065301488037335
2022-02-11 10:35:00-06:00,19.139999389648438,19.174999237060547,18.940000534057617,18.959999084472656,718347,48.603581991896355
2022-02-11 10:40:00-06:00,18.954999923706055,19.06920051574707,18.95199966430664,19.009300231933594,604567,50.65466598098747
2022-02-11 10:45:00-06:00,19.00160026550293,19.149799346923828,18.959999084472656,19.1200008392334,596968,54.99742394907341
2022-02-11 10:50:10-06:00,19.114999771118164,19.114999771118164,19.114999771118164,19.114999771118164,0,54.76294504368175
